City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Tual,ID,-5.6667,132.75,83.25,73,94,11.01,overcast clouds
240,Awjilah,LY,29.1081,21.2869,69.55,60,0,6.29,clear sky
241,Camalu,MX,30.85,-116.0667,69.15,83,5,4.23,clear sky
242,Kuytun,RU,54.3419,101.5036,39.33,55,51,3.89,broken clouds
243,Elizabeth City,US,36.2946,-76.2511,55.02,89,100,9.22,overcast clouds
244,Murray Bridge,AU,-35.1167,139.2667,65.12,73,98,2.77,overcast clouds
245,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,20,11.5,few clouds
246,Batemans Bay,AU,-35.7167,150.1833,59.09,79,100,10.18,light rain
247,Oranjemund,NA,-28.55,16.4333,53.58,90,11,9.93,few clouds
248,Radviliskis,LT,55.8167,23.5333,48.25,100,75,8.05,broken clouds
249,Vestmannaeyjar,IS,63.4427,-20.2734,41.74,75,97,39.12,overcast clouds
250,Iqaluit,CA,63.7506,-68.5145,33.53,100,100,3.0,overcast clouds
251,Poum,NC,-20.2333,164.0167,74.62,59,34,7.52,scattered clouds
252,Hambantota,LK,6.1241,81.1185,88.14,66,40,13.8,scattered clouds
253,Carnarvon,AU,-24.8667,113.6333,72.12,56,19,14.81,few clouds
254,Vardo,NO,70.3705,31.1107,42.78,87,100,5.75,overcast clouds
255,Bengkulu,ID,-3.8004,102.2655,82.56,69,100,8.23,overcast clouds
256,Steinbach,DE,50.1667,8.5667,52.2,95,75,3.44,fog
257,Libreville,GA,0.3925,9.4537,78.82,89,75,6.91,broken clouds
258,Springbok,ZA,-29.6643,17.8865,48.65,54,0,2.71,clear sky
259,Doha,QA,25.2867,51.5333,85.98,74,0,6.91,haze
260,Shatsk,RU,54.0258,41.7119,51.64,82,87,12.59,overcast clouds
261,Kudahuvadhoo,MV,2.6708,72.8944,81.72,77,100,19.37,overcast clouds
262,Kyshtovka,RU,56.555,76.6271,45.36,95,100,5.14,overcast clouds
263,Gravdal,NO,68.1214,13.5031,49.89,93,75,10.36,broken clouds
264,Te Horo,NZ,-40.8084,175.1233,45.63,95,81,9.24,broken clouds
265,Ixtapa,MX,20.7,-105.2,74.23,100,100,8.05,overcast clouds
266,Qaqortoq,GL,60.7167,-46.0333,34.95,100,100,7.67,snow
267,Chimoio,MZ,-19.1164,33.4833,64.26,100,0,4.83,fog
268,Richards Bay,ZA,-28.783,32.0377,69.71,69,75,9.75,broken clouds
