City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Naryan-Mar,RU,2022-09-28 20:03:02,67.6713,53.087,27.97,75,57,6.98
107,Temnikov,RU,2022-09-28 20:03:02,54.6302,43.2148,54.1,93,100,1.01
108,Luderitz,NA,2022-09-28 19:59:38,-26.6481,15.1594,58.6,77,3,11.77
109,Port Elizabeth,ZA,2022-09-28 20:00:16,-33.918,25.5701,63.1,91,38,5.99
110,Namibe,AO,2022-09-28 20:03:03,-15.1961,12.1522,64.02,81,14,1.16
111,Rincon,US,2022-09-28 20:00:06,32.296,-81.2354,71.85,33,100,10.85
112,New Norfolk,AU,2022-09-28 20:03:05,-42.7826,147.0587,49.5,83,100,3.0
113,Bengkulu,ID,2022-09-28 20:03:05,-3.8004,102.2655,74.5,91,68,4.27
114,Nyurba,RU,2022-09-28 20:03:06,63.2842,118.3319,22.23,87,27,2.75
115,Takestan,IR,2022-09-28 20:03:07,36.0696,49.6959,70.63,20,0,2.26
116,Bokovskaya,RU,2022-09-28 20:03:07,49.229,41.8306,59.43,96,27,8.19
117,Vitim,RU,2022-09-28 20:03:07,59.4511,112.5578,27.19,85,100,5.21
118,Victoria,HK,2022-09-28 19:59:26,22.2855,114.1577,83.32,82,62,11.99
119,Chokurdakh,RU,2022-09-28 20:03:08,70.6333,147.9167,19.35,85,35,6.02
120,Esperance,AU,2022-09-28 20:03:08,-33.8667,121.9,51.57,88,99,11.99
121,Tutin,RS,2022-09-28 20:03:09,42.9903,20.3314,51.87,83,100,3.69
122,Cascas,PE,2022-09-28 20:03:09,-7.4833,-78.8167,72.97,50,30,10.65
123,Verkhnyaya Inta,RU,2022-09-28 20:03:10,65.9811,60.3094,27.34,73,13,6.17
124,Mormugao,IN,2022-09-28 20:03:10,15.4,73.8,78.06,83,40,4.61
125,Saint-Philippe,RE,2022-09-28 20:03:11,-21.3585,55.7679,69.39,71,78,11.52
126,Abalak,RU,2022-09-28 20:03:11,58.1286,68.5944,22.77,86,25,5.12
127,Akdepe,TM,2022-09-28 20:03:12,42.0551,59.3788,63.1,33,20,12.75
128,Gumdag,TM,2022-09-28 20:03:12,39.2061,54.5906,75.76,20,0,17.29
129,Rexburg,US,2022-09-28 20:03:12,43.826,-111.7897,81.43,21,0,5.75
130,Vaini,TO,2022-09-28 20:03:13,-21.2,-175.2,72.0,71,100,21.23
131,Praia Da Vitoria,PT,2022-09-28 20:03:13,38.7333,-27.0667,69.76,77,100,11.3
132,Tessalit,ML,2022-09-28 20:03:14,20.1986,1.0114,98.24,11,74,5.32
133,Nanortalik,GL,2022-09-28 20:03:14,60.1432,-45.2371,42.49,97,100,5.48
134,Bassar,TG,2022-09-28 20:03:15,9.25,0.7833,71.89,89,99,4.16
135,Broken Hill,AU,2022-09-28 20:03:15,-31.95,141.4333,47.16,89,1,10.78
136,Vardo,NO,2022-09-28 20:04:16,70.3705,31.1107,48.18,81,0,16.11
137,Cidreira,BR,2022-09-28 20:04:16,-30.1811,-50.2056,62.83,70,100,12.91
138,Gat,IL,2022-09-28 20:04:17,31.61,34.7642,76.82,63,0,4.65
139,Tadine,NC,2022-09-28 20:04:17,-21.55,167.8833,75.31,69,76,9.55
140,Peterhead,GB,2022-09-28 20:04:17,57.5058,-1.7981,54.0,88,100,15.64
141,Rio Grande,BR,2022-09-28 20:04:18,-32.035,-52.0986,58.77,66,31,13.87
142,Blagoyevo,RU,2022-09-28 20:04:18,63.3667,47.9167,29.23,68,0,6.17
143,Yerbogachen,RU,2022-09-28 20:04:19,61.2767,108.0108,25.95,86,100,4.41
144,Arrifes,PT,2022-09-28 20:04:19,37.7667,-25.7,69.24,73,75,9.22
145,Araouane,ML,2022-09-28 20:04:19,18.9048,-3.5265,101.5,12,63,2.42
146,Portland,US,2022-09-28 20:03:47,45.5234,-122.6762,69.49,76,75,9.22
147,Ponta Do Sol,PT,2022-09-28 20:04:20,32.6667,-17.1,73.0,85,55,2.75
148,Kalmar,SE,2022-09-28 20:04:20,56.6616,16.3616,56.14,94,75,6.91
149,San Patricio,US,2022-09-28 20:04:21,28.017,-97.5169,90.16,33,2,14.92
150,Hobart,AU,2022-09-28 20:04:21,-42.8794,147.3294,49.86,92,100,16.11
151,Arkadelphia,US,2022-09-28 20:04:22,34.1209,-93.0538,87.58,27,0,8.05
152,Poquoson,US,2022-09-28 20:04:22,37.1224,-76.3458,72.16,39,40,10.36
153,Sao Felix Do Xingu,BR,2022-09-28 20:00:37,-6.6447,-51.995,97.38,25,45,0.38
154,Upernavik,GL,2022-09-28 20:04:23,72.7868,-56.1549,31.39,93,100,8.48
155,Kumluca,TR,2022-09-28 20:04:24,36.3703,30.2869,74.5,75,1,5.48
156,Arraial Do Cabo,BR,2022-09-28 20:04:25,-22.9661,-42.0278,69.66,94,100,11.5
157,Hopkinsville,US,2022-09-28 19:59:42,36.8656,-87.4886,67.32,48,0,1.01
158,Kathu,TH,2022-09-28 20:04:26,7.9178,98.3332,83.75,83,100,21.85
159,Harnosand,SE,2022-09-28 20:04:27,62.6323,17.9379,50.0,82,100,10.38
